text,retweetCount,replyCount,likeCount,quoteCount,viewCount,timestamp,bookmarkCount,quote,text_length
RT @Starlink: Starlink is self-orienting and connects in minutes as long as it has a clear view of the sky. Open the Starlink App to check…,2610,0,0,0,13,2023-05-05 22:11:52+00:00,0,,139
RT @Tesla: Model S Plaid track pack coming soon https://t.co/a2YtxnVu22,2613,0,0,0,4,2023-05-05 06:27:17+00:00,0,,71
"RT @CommunityNotes: ¡Notas de la Comunidad sigue creciendo! Bienvenidos a los contribuyentes de 🇦🇷Argentina, 🇨🇱Chile, 🇨🇴Colombia, 🇪🇨Ecuador…",660,0,0,0,6,2023-05-04 20:13:04+00:00,0,,140
RT @boringcompany: Vegas Loop is expanding - 65 miles and 69 stations!  Thanks to @ClarkCountyNV for the great partnership.,1403,0,0,0,1,2023-05-04 01:45:50+00:00,0,,123
RT @SpaceX: Falcon 9’s first stage has landed on the A Shortfall of Gravitas droneship https://t.co/EutLNuLDDe,2405,0,0,0,25,2023-05-04 09:55:25+00:00,0,,110
"RT @shellenberger: The idea that governments around the world have for years been secretly censoring ordinary citizens sounds crazy, but it…",9267,0,0,0,5,2023-05-03 14:47:57+00:00,0,,140
RT @SpaceX: Fairing reentry on the ViaSat-3 mission was the hottest and fastest we've ever attempted.  The fairings re-entered the atmosphe…,7740,0,0,0,17,2023-05-03 00:06:00+00:00,0,,140
RT @SpaceX: Falcon Heavy’s 27 Merlin engines together generate more than 5 million pounds of thrust at liftoff https://t.co/ybXHSnUSnP,2822,0,0,0,4,2023-05-02 04:32:16+00:00,0,,134
RT @SpaceX: Falcon Heavy launches @ViasatInc’s ViaSat-3 Americas mission to orbit https://t.co/H87z3rmuBp,2613,0,0,0,10,2023-05-01 16:48:55+00:00,0,,105
RT @TeslaCharging: How it started:                                              How it's going: https://t.co/oBCIGwNEnk,2415,0,0,0,6,2023-05-01 16:39:53+00:00,0,,119
RT @SpaceX: Watch Falcon Heavy launch @ViasatInc’s ViaSat-3 Americas mission to orbit → https://t.co/bJFjLCiTbK  https://t.co/tmQZfcKBf4,2626,0,0,0,3,2023-05-01 00:17:48+00:00,0,,136
RT @SpaceX: T-1 hour until Falcon Heavy's launch of @ViasatInc’s ViaSat-3 Americas mission; weather is 95% favorable for liftoff at 8:26 p.…,2002,0,0,0,3,2023-04-30 23:51:43+00:00,0,,140
RT @Tesla: Your Tesla can automatically navigate to destinations based on your calendar https://t.co/geWybKMpbF,2535,0,0,0,8,2023-04-30 15:59:10+00:00,0,,111
RT @Tesla: Model Y AWD is the most efficient electric SUV ever built https://t.co/q7iseDodPT,2200,0,0,0,4,2023-04-30 21:32:35+00:00,0,,92
RT @SpaceX: All systems and weather are looking good for tonight's Falcon Heavy launch of @ViasatInc's ViaSat-3 Americas mission → https://…,2632,0,0,0,3,2023-04-30 15:58:52+00:00,0,,140
"RT @elektrotimmy: Imagine the countless lives we could save if more people drove Teslas. With safety as a top priority, Tesla is leading th…",1016,0,0,0,6,2023-04-29 16:13:02+00:00,0,,140
"RT @elektrotimmy: Not all active safety systems are created equal. Even within the 5-star category, there can be considerable differences i…",4716,0,0,0,74,2023-04-29 16:12:58+00:00,0,,140
